Fitur,Koefisien
P_fisik,2.3302072897988753
P_kimia,2.893808387768505
Age,0.032300712496474884
Gender,-0.13298524375834053
Comorbidity,-0.2897556731162878
Coronary Artery Disease (CAD),-0.26873504196311504
Hypothyroidism,-0.0491322669098863
Hyperlipidemia,0.8001933658174284
Diabetes Mellitus (DM),0.4138554160512155
