y_test,y_pred,y_pred_proba,P_fisik_test,P_kimia_test
1,1,0.5066789422528424,0.8021579,0.9444382847304568
1,1,0.8707560918514872,0.9159915,0.7590653780638915
0,0,0.056277477481748064,0.1011444,0.07280020489740874
0,0,0.19841348693783398,0.41354707,0.11023751369405278
0,0,0.01469038855185069,0.5053214,0.1030722028946665
0,0,0.060052263896747546,0.098069936,0.01170066899232912
1,1,0.8452993852141562,0.65082073,0.9903129794626842
1,1,0.8825460326122678,0.7331864,0.7267015765357979
1,0,0.45590080300624625,0.8807733,0.07702341224528152
1,1,0.8800053142024579,0.8918446,0.9196028500321868
0,1,0.5604943120652299,0.31700712,0.4552547918933183
0,1,0.5786929819345782,0.5544784,0.7719069485670121
0,1,0.5151232770952058,0.9000956,0.146200265968554
1,1,0.9990608735208196,0.90546227,0.9863622691176341
0,0,0.11327275245285384,0.15476769,0.017083114250217576
1,1,0.7745866642781689,0.69585323,0.815454191888117
1,1,0.736503375330454,0.4023163,0.9723258955945338
1,0,0.36407611278210417,0.07885468,0.5983737165025803
0,1,0.5214396707977652,0.7867436,0.03346661710852799
1,1,0.6506998397228556,0.20361966,0.6693809225774436
0,0,0.16242790017472516,0.18662128,0.13027548894083707
0,1,0.5311650440579901,0.719573,0.40479516468936577
1,1,0.8927628435644399,0.83247924,0.9967708799818908
1,1,0.8143910515977197,0.5240449,0.7929897075698323
0,0,0.1386953082571651,0.18581344,0.08204227555949774
0,0,0.2994547081423791,0.60325843,0.15620791439962803
1,0,0.3046028978234727,0.48543617,0.2631353326178106
0,0,0.26634294236685907,0.555325,0.05276576709758369
1,1,0.5132420603342064,0.3045609,0.6303716404045167
0,0,0.37277526808175376,0.2444534,0.236290658550863
1,1,0.6540579221952466,0.6963213,0.5094756277868058
0,0,0.4312228438140467,0.81887835,0.09320780699811891
1,1,0.6185691683413792,0.92276484,0.27049613492057745
1,1,0.9109184822373587,0.9641001,0.9799061029051176
1,1,0.6255128446602576,0.1554549,0.9012800019331012
0,0,0.22525775198681194,0.28513628,0.1791548574820763
1,1,0.7971097480905825,0.62489295,0.9125541067742567
0,0,0.23842559385058562,0.41164738,0.13806639387964087
1,1,0.8346685059862015,0.99063206,0.6929565959269754
1,1,0.9065367380200248,0.89803916,0.9976799199790584
1,1,0.5111885762371355,0.67154187,0.41490242277373235
0,0,0.05224841223077924,0.22825757,0.38682286748319955
0,0,0.06920928296062025,0.12024161,0.13547386959747656
1,1,0.5066614066401207,0.99020547,0.1439129772396315
0,0,0.4654896065641382,0.08999039,0.8217503773866902
0,0,0.2061706370481142,0.51467687,0.05264310934128579
0,0,0.25621008070160517,0.29013503,0.25087328091221356
0,1,0.5902802081615907,0.48302397,0.3646183889655084
0,0,0.0551615564663857,0.7251335,0.0074353532119435595
1,1,0.6271460218842961,0.9216831,0.2885011537498964
1,1,0.8864820854923873,0.6217075,0.9207930294980604
1,1,0.9214187310058622,0.98672926,0.9909199424371409
0,0,0.14088519055287393,0.17263173,0.08088481781180341
1,0,0.47952380967635916,0.41875595,0.4737246014701894
1,1,0.9991077839347061,0.9209803,0.9879771583865754
0,0,0.07762294835447747,0.06863456,0.0422586254925084
0,0,0.17122842240425193,0.39167324,0.009624758025757116
0,1,0.7006462395744818,0.56801116,0.7667262977911177
0,1,0.595874814857842,0.08976107,0.9831235200778103
1,1,0.9036691310734821,0.7769546,0.9808939701837341
0,0,0.15810177929513428,0.1700353,0.14516789749280382
1,0,0.08508010327241045,0.14185755,0.01238096726599353
1,1,0.6606717094284004,0.6367541,0.6712420712483528
0,0,0.09902524318413242,0.25594714,0.07565631935119439
